daily_volume,avg_trade_size,trade_count,volume_volatility,min_trade_size,max_trade_size,daily_pnl,avg_pnl_per_trade,pnl_volatility,min_pnl,max_pnl,daily_fees,avg_fee_per_trade,daily_tokens_traded,avg_tokens_per_trade,unique_accounts,unique_coins,pnl_ratio,fee_ratio,avg_pnl_per_dollar,volume_efficiency,pnl_per_trade,value,classification,sentiment_normalized,sentiment_change_1d,sentiment_change_7d,sentiment_ma_7d,sentiment_volatility_30d,date
477.0,159.0,3,23.3347,137.08,183.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2513,0.0838,1,1,0.0,0.0,0.0,159.0,0.0,63,Greed,0.26,3.0,10.0,59.857142857142854,5.199027318400407,2023-05-01
50005.83,5556.2033,9,7684.9291,557.52,24370.62,0.0,0.0,0.0,0.0,0.0,12.5015,1.3891,11.809,1.3121,1,2,0.0,0.0002500007999065709,0.0,5556.203333333334,0.0,75,Extreme Greed,0.5,1.0,7.0,73.28571428571429,3.8661513727196133,2023-12-05
113203.35,10291.2136,11,7791.1383,641.22,25252.56,-205.4347,-18.6759,179.6635,-514.0031,245.4285,28.3008,2.5728,4092.289,372.0263,1,4,-0.0018147403045280634,0.0002499996466535976,-0.0018147403045280634,10291.213636363636,-18.675881818181818,72,Greed,0.44,7.0,0.0,71.0,4.066120181860519,2023-12-14
10609.95,5304.975,2,1927.2549,3942.2,6667.75,-24.632,-12.316,4.4743,-15.4798,-9.1522,2.6525,1.3262,3558.0,1779.0,1,1,-0.0023215921643436922,0.00025000094251062207,-0.0023215921643436922,5304.975,-12.316,70,Greed,0.4,-2.0,-2.0,70.71428571428571,3.6141484426510857,2023-12-15
15348.77,5116.2567,3,797.0425,4632.44,6036.19,0.0,0.0,0.0,0.0,0.0,3.8372,1.2791,39897.0,13299.0,1,1,0.0,0.00025000032575878996,0.0,5116.256666666667,0.0,67,Greed,0.34,-3.0,-6.0,69.85714285714286,3.6610720118378053,2023-12-16
116278.02,8305.5729,14,9857.563,50.09,30572.93,304.9828,21.7845,43.5126,-12.0227,105.8616,29.0695,2.0764,86246.4486,6160.4606,1,3,0.002622875533753023,0.00024999993549942325,0.002622875533753023,8305.572857142857,21.784485714285715,73,Greed,0.46,6.0,-1.0,69.71428571428571,3.4409635111487975,2023-12-17
31164.18,15582.09,2,22011.7674,17.42,31146.76,0.0,0.0,0.0,0.0,0.0,7.791,3.8955,14.306,7.153,1,1,0.0,0.00024999847581470917,0.0,15582.09,0.0,65,Greed,0.3,-8.0,-9.0,68.42857142857143,3.5733689310287273,2023-12-18
91602.41,6106.8273,15,6873.3671,58.43,27346.85,1000.5386,66.7026,183.7354,0.0,721.2556,22.9006,1.5267,161546.306,10769.7537,1,2,0.010922621913263864,0.00024999994541628924,0.010922621913263864,6106.827333333334,66.70257333333333,73,Greed,0.46,8.0,6.0,69.28571428571429,3.5109025594010963,2023-12-19
141636.79,7868.7106,18,5292.1513,89.87,23605.58,162.7323,9.0407,21.3481,0.0,78.5892,35.4092,1.9672,174520.2,9695.5667,1,2,0.0011489408119923635,0.00024999999999999995,0.0011489408119923635,7868.710555555556,9.040683333333334,74,Greed,0.48,1.0,9.0,70.57142857142857,3.55401666889149,2023-12-20
125233.97,2555.7953,49,1575.7218,24.77,6308.51,537.2114,10.9635,20.8116,-0.1652,82.3829,31.3085,0.6389,1364.3,27.8429,1,1,0.004289661639756239,0.0002500000399252663,0.004289661639756239,2555.795306122449,10.963497959183673,70,Greed,0.4,-4.0,-2.0,70.28571428571429,3.5557950110937897,2023-12-21
